Date,Pay,CPI,Food,Rent,Fuels
2022-07-01,32.20,290.584,235.004,370.448,305.797
2022-08-01,32.25,290.332,234.167,373.283,309.739
2022-09-01,32.50,291.413,233.906,376.569,311.690
2022-10-01,32.87,292.930,235.416,379.436,308.978
2022-11-01,32.71,293.594,236.548,382.562,305.991
2022-12-01,32.86,293.294,238.139,385.649,307.348
2023-01-01,33.40,295.059,238.770,388.372,315.652
2023-02-01,33.20,295.847,239.903,391.141,309.960
2023-03-01,33.26,295.849,239.052,392.910,304.032
2023-04-01,33.76,297.103,237.332,394.898,299.962
2023-05-01,33.45,297.507,237.525,396.726,297.818
2023-06-01,33.42,298.332,236.361,398.593,303.365
2023-07-01,33.92,298.719,237.184,400.210,304.077
2023-08-01,33.71,300.519,236.627,402.247,305.887
2023-09-01,33.94,301.777,237.580,404.487,306.948
2023-10-01,34.24,301.972,236.466,406.683,304.885
2023-11-01,34.05,302.323,235.903,408.838,306.379
2023-12-01,34.23,302.928,234.209,410.606,306.768
2024-01-01,34.64,303.733,235.198,412.019,313.469
2024-02-01,34.57,305.121,233.014,413.695,314.229
2024-03-01,34.65,306.349,233.640,415.219,314.168
2024-04-01,34.86,307.211,232.793,416.386,311.410
2024-05-01,34.81,307.233,231.822,417.772,311.649
2024-06-01,34.98,307.010,232.970,418.820,316.248
2024-07-01,34.93,307.410,236.113,420.577,316.671
2024-08-01,35.02,307.843,231.743,422.223,314.948
2024-09-01,35.46,308.539,235.200,423.821,316.243
2024-10-01,35.41,309.161,236.471,425.381,315.866
2024-11-01,35.47,309.945,240.219,426.651,315.136
2024-12-01,35.82,311.162,242.878,428.151,317.180
2025-01-01,36.00,312.776,242.562,429.506,322.407
2025-02-01,36.19,313.323,246.915,430.603,325.104
2025-03-01,36.22,313.175,249.256,431.798,327.077
2025-04-01,36.17,313.729,255.189,432.956,328.138
2025-05-01,36.14,313.961,258.377,433.698,330.265
2025-06-01,36.28,314.858,264.115,434.594,337.495
2025-07-01,36.26,315.279,270.290,435.489,337.149
2025-08-01,36.37,316.530,280.100,436.981,336.541
2025-09-01,36.60,317.618,279.769,438.212,334.686

